id,uuid,category,muscles,equipment,images,ex_id,ex_name,description
57,b7267f90-8706-442b-b918-507e16092b8e,Chest,Shoulders,none (bodyweight exercise),[],307,Bear Walk,"<p>-Rest your weight on your palms and the balls of your feet, not dissimilar to normal pushup position</p>
<p>-Move by stepping with your R palm and L foot, then your L palm and R foot.  Basically, walk like a lumbering bear.</p>
<p>-Move as fast as you can.  Measure your reps/sets in either distance (i.e. 40 yards) or time (i.e. 45 seconds)</p>
<p>-Works your Pecs, Deltoids, Triceps, Traps, Lats, Abs and Lower Back, Hip Flexors, Quads, Glutes and Calves</p>"
64,b955b629-5c57-4f98-b200-e96e138c300f,Abs,Abs,[],[],35,Beinheben Aufrecht,"<p>Stelle dich mit den Unterarmen fest auf die Polster der Beinhebemaschine, der Körper hängt frei nach unten. Hebe nun die Beine so weit wie möglich nach oben, wobei an der höchsten Stelle eine kurze Pause eingelegt wird. Bringe sie dann langsam und kontrolliert wieder nach unten. Während der Übung darf der Körper nicht mitschwingen, nur die Beine sollten sich hier bewegen.</p>"
65,5f8370d9-aa89-4dcc-9d97-d9da86a2f183,Abs,Abs,Pull-up bar,[],280,Beinheben im Hang,"<p>Ausgangspostion im Hang, die Beine sind angebhoben (Oberschenkel-Rumpf-Winkel 90°)</p>
<p>Von hier aus kleine Hebebewegungen ausführen, die Hüftgelenke bleiben in der Endposition gebeugt (90°)</p>"
67,5b14e0f0-1131-4ad9-9821-5703f1370bc5,Abs,Abs,Gym mat,137,34,Beinheben Liegend,"<p>Lege dich auf die Bank und greife mit den Armen die Lehne o.Ä. damit du stabil liegst. Halte die Beine ausgestreckt und hebe sie, bis sie einen Winkel von etwa 45° bilden. Mache eine kleine Pause von ca. 1 sek. und gehe langsam wieder runter. Du kannst zur Steigerung z.B. jedes 5. Mal, eine längere Pause von 7 Sekunden machen.</p>"
70,27d322ba-cbf5-44fa-a3bc-1999c6711757,Legs,Quads,[],165,39,Beinstrecker,"<p>Setze dich in die Beinstreckermaschine. Der Rücken soll einen festen Halt haben, stelle die Maschine so ein, dass du fest sitzt. In der Anfangsposition sind die Beine entwas nach hinten angewinkelt. Drücke das Gewicht nach oben bis die Beine nahezu vollständig ausgestreckt sind. Gehe langsam und kontrolliert wieder runter.</p>"
71,046fce45-69f2-46f7-a5b6-79a25a485af1,Legs,Quads,[],[],69,Beinstrecker Einbeinig,"<p>Der Bewegungsablauf ist wie beim beidbeinigem Beinstrecker:</p>
<p>Setze dich in die Beinstreckermaschine. Der Rücken soll einen festen Halt haben, stelle die Maschine so ein, dass du fest sitzt. In der Anfangsposition sind die Beine entwas nach hinten angewinkelt. Drücke das Gewicht nach oben bis die Beine nahezu vollständig ausgestreckt sind. Gehe langsam und kontrolliert wieder runter.</p>"
73,3717d144-7815-4a97-9a56-956fb889c996,Chest,Chest,Barbell,68,15,Bankdrücken LH,"<p>Lege dich auf die Bank, die Stange direkt über die Augen, die Knie etwas angewinkelt und die Füße fest auf dem Boden. Greife die Stange breit und lasse sie langsam und kontrolliert runter, dabei sollte die Stange kurz auf Brustwarzenhöhe den Körper berühren. Dann das Gewicht wieder hochdrücken bis die Arme durchgestreckt sind.</p>
<p>Bei hohem Gewicht, empfielt sich natürlich einen <em>Spotter</em> zu haben, der einen hilft falls man die Stange nicht alleine hochdrücken kann.</p>
<p>Mit der Breite des Griffs kann außerdem kontrolliert werden, welcher Bereich der Brust stärker belastet wird:</p>
<ul>
<li>breiter Griff: äußere Brustmuskeln</li>
<li>enger Griff: innere Brustmuskeln und Trizeps</li>
</ul>"
75,28321cf3-70e6-48a4-ade1-d11382180cb3,Chest,Chest,Bench,113,77,Bankdrücken KH,"<p>Der Bewegungsablauf ist ähnlich zur Übung mit einer Langhantel.</p>
<p>Nehme die Gewichte in die Hände und lege dich auf die Bank. Halte die Hanteln neben der Brust auf Brustwarzenhöhe und drücke sie nun nach oben, bis die Arme ausgestreckt sind. Lasse die Gewichte nun langsam und kontrolliert runter.</p>
<p> </p>"
76,3db63138-a047-4a4d-b616-1a0b7dfca105,Arms,Triceps,Barbell,15,38,Bankdrücken Eng,"<p>Lege dich auf die Bank, die Stange direkt über die Augen, die Knie etwas angewinkelt und die Füße fest auf dem Boden. Greife nun die Stange mit einem engen Griff (nicht mehr als 20cm.). Führe nun das Gewicht so weit nach unten, bis die Oberarme paralell zum Boden sind, gehe dann wieder nach obern. Bringe die Stange nicht wie beim (breiten) Bankdrücken auf Brusthöhe runter, sondern weiter unten. Auf der tiefsten Stelle sollten deine Arme einen rechten Winkel machen.</p>"
79,01271ea0-088c-4e2b-95ad-876af7127057,Shoulders,,Dumbbell,[],268,Bent High Pulls,"<p>Bend over slightly while holding two dumbbells.  Pull the dumbbells up to your chest, keeping your elbows as high as you can.</p>"
80,133f7a01-dd9f-45d5-af67-1d1af134d99b,Back,[],Barbell,[],412,Bent Over Barbell Row,"<ol>
<li>Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.</li>
<li>Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause.</li>
<li>Then inhale and slowly lower the barbell back to the starting position.</li>
<li>Repeat for the recommended amount of repetitions.</li>
</ol>"
81,94a5c406-7bcd-47f3-9687-bdf92a763932,Back,Lats,[],[],362,Bentover Dumbbell Rows,"<p>With dumbbells in hand, bend at the hip until hands hang just below the knees (similar to straight-legged-deadlift starting position). Keep upper body angle constant while contracting your lats to pull you ellbows back pinching the shoulder blades at the top. Try not to stand up with every rep, check hands go below knees on every rep.</p>"
82,6f79b381-98a4-40d5-8a45-3bb0558be6fe,Shoulders,[],Bench,[],421,Bent-over Lateral Raises,"<p>Sit on bench while holding weights. Bend forward as far as possible, with arms slightly bent at the elbow. Perform a lateral raise while maintaining the bend in your elbow.</p>"
83,4af6dbd9-8991-484b-9810-68f117c21edf,Back,Lats,Barbell,84,109,Bent Over Rowing,"<p>Grab the barbell with a wide grip (slightly more than shoulder wide) and lean forward. Your upper body is not quite parallel to the floor, but forms a slight angle. The chest's out during the whole exercise.</p>
<p>Pull now the barbell with a fast movement towards your belly button, not further up. Go slowly down to the initial position. Don't swing with your body and keep your arms next to your body.</p>"
84,2f0ddf9a-f520-4c55-8883-f0d4a789f481,Back,Lats,Barbell,91,110,Bent Over Rowing Reverse,"<p>The same as <em>regular</em> rowing, but holding a reversed grip (your palms pointing forwards):</p>
<p>Grab the barbell with a wide grIp (slightly more than shoulder wide) and lean forward. Your upper body is not quite parallel to the floor, but forms a slight angle. The chest's out during the whole exercise.</p>
<p>Pull now the barbell with a fast movement towards your belly button, not further up. Go slowly down to the initial position. Don't swing with your body and keep your arms next to your body.</p>"
91,7b99a081-6b1a-4aa5-b86a-5a935d083a35,Arms,Biceps,Barbell,27,74,Biceps Curls With Barbell,"<p>Hold the Barbell shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>"
92,1ae6a28d-10e7-4ecf-af4f-905f8193e2c6,Arms,Biceps,Dumbbell,23,81,Biceps Curls With Dumbbell,"<p>Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further outwards. Without a pause, bring them down, slowly.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>"
94,42227131-9b1e-4220-b082-c523f0651057,Arms,Biceps,SZ-Bar,[],80,Biceps Curls With SZ-bar,"<p>Hold the SZ-bar shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>"
95,bcb7020c-8678-496d-8f4d-aad0e233a5bd,Arms,Biceps,[],19,129,Biceps Curl With Cable,"<p>Stand around 30 - 40cm away from the cable, the feet are firmly on the floor. Take the bar and lift the weight with a fast movements. Lower the weight as with the dumbbell curls slowly and controlled.</p>"
105,8953df3e-4027-45fb-8740-5d9bea55dde1,Arms,Biceps,[],189,231,"Bizeps am Kabel, ß-Stange","<p>Wie ""Bizeps am Kabel"", nur mit einer ß-Stange</p>"
112,d551f24d-44fe-4761-9448-edf14d627827,Arms,[],none (bodyweight exercise),[],341,Body-Ups,"<ol>
<li>Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.</li>
<li>Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement.</li>
<li>Slowly lower your forearms back to the ground by allowing the elbows to flex.</li>
<li>Repeat as needed.</li>
</ol>"
113,4a7052cc-6abb-4e24-bcff-6f9b13d550f1,Arms,Triceps,none (bodyweight exercise),[],679,Body-Ups,"<p>Nehmen Sie eine Dielenposition auf dem Boden ein. Sie sollten Ihr Körpergewicht auf Zehen und Unterarmen abstützen und Ihren Oberkörper gerade halten. Ihre Unterarme sollten schulterbreit auseinander liegen. Dies wird Ihre Startposition sein.</p>
<p>Drücken Sie Ihre Handflächen fest in den Boden und strecken Sie sie durch die Ellbogen, um Ihren Körper vom Boden abzuheben. Halten Sie Ihren Oberkörper steif, während Sie die Bewegung ausführen.</p>
<p>Lassen Sie Ihre Unterarme langsam wieder auf den Boden sinken, indem Sie die Ellbogen beugen.</p>
<p>Wiederholen Sie diesen Vorgang nach Bedarf.</p>"
124,8c6428f3-d41d-4ffc-8444-bb9b823bc42b,Legs,Quads,[],[],342,Braced Squat,"<p>Stand with feet slightly wider than shoulder-width apart, while standing as tall as you can.</p>
<p>Grab a weight plate and hold it out in front of your body with arms straight out. Keep your core tight and stand with a natural arch in your back.</p>
<p>Now, push hips back and bend knees down into a squat as far as you can. Hold for a few moments and bring yourself back up to the starting position.</p>"
127,d103baeb-7fec-40f0-b1ac-bb1bf10fdb6c,Legs,[],[],[],765,Brücke Auf Dem Ball,"<p>Ausgangsposition: Auf den Rücken legen. Großer Gymnastikball unter die Beine legen und schräg in der Brücke mit angespanntem Körper bleiben.</p>
<p>Anschließend die Beine bis 90 Grad anwinkeln und wieder absetzten in Ausgangsposition zurück.</p>"
129,5c414175-fe72-455a-ba8f-a0575cf792bd,Chest,Chest,[],[],199,Brustpresse,<p>.</p>
132,48ee1385-47c5-4821-8b6a-57fac6130776,Chest,[],[],[],354,Burpees,"<p>Jump, lay down on your chest, do a pushup then jump, repeat</p>"
135,99449eae-0eae-44ab-a57f-fc094bbdda13,Chest,Chest,[],111,98,Butterfly,"<p>Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.</p>"
137,80ff0a3a-ae45-497d-8c27-2b12e3b6e1b8,Chest,Chest,[],[],52,Butterfly Eng,"<p>Setzte dich auf den Sitz der Butterflymaschine, die Füße sollen dabei guten Kontakt mit dem Boden machen, die Ellenbogen machen etwa einen Rechten Winkel, die Oberarme sind waagerecht zum Boden. Drücke nun die Gewichte zusammen, wobei die Griffe sich nicht berühren sollen. Gehe nun wieder zurück, das Trainingsgewicht darf dabei nicht abgelegt werden.</p>"
139,a6605e9c-887d-45e0-8282-617a8ec5fea2,Shoulders,Shoulders,[],[],124,Butterfly Reverse,
141,12760abd-d687-440e-a663-f00db10500ed,Chest,Chest,[],[],207,Cable Cross-over,"<p>Begin with cables at about shoulder height, one in each hand. Take a step forward so that one foot is in front of the other, for stability, and so that there is tension on the cables. Bring hands together in front of you. Try to make your hands overlap (so that the cables cross) a few inches.</p>"
142,dc3a2072-abc3-4ef9-b8e6-f5ae6b11bc7f,Shoulders,Shoulders,[],[],265,Cable External Rotation,"<p>Steps:</p>
<ol>
<li>Start off placing an extension band around a post or in a secure position where it will not release and is at elbow level.</li>
<li>Position yourself to the side of the band and with your hand that is opposite of the band, reach out and grab the handle.</li>
<li>Bring the band to your chest keeping your elbow bent in a 90 degree angle then slowly rotate your arm in a backhand motion so that the band externally rotates out</li>
<li>Continue out as far as possible so that you feel a stretch in your shoulders, hold for a count and then return back to the starting position.</li>
<li>Repeat for as many reps and sets as desired.</li>
</ol>"
145,c867836d-2929-4977-b23c-014bc21ec08d,Abs,,[],[],167,Cable Woodchoppers,"<p>Set cable pulley slightly lower than chest height. Keep body facing forward with hips stable.  Grab the pulley handle, fully extend your arms and bring your arms forward and across your body. Hold for 1 second at the end of the movement and slowly return to starting position.</p>"
146,0d79f259-3b28-4258-8a08-cffec062a710,Calves,Calves,[],[],308,Calf Press Using Leg Press Machine,"<p>Put  the balls of your feet on an extended leg press pad.  Use your calves to press the weight by flexing your feet/toes into a pointed position, and releasing back into a relaxed position.</p>
<p>This exercise builds mass and strength in the Gastrocnemius and Soleus muscles as well, if not better, than any calf exercise.</p>"
147,7a69e726-cdb2-4f0a-b9bd-a9c560d04a03,Calves,Calves,Dumbbell,[],776,Calf Raises,"Calf raises are a method of exercising the gastrocnemius, tibialis posterior and soleus muscles of the lower leg. The movement performed is plantar flexion, a.k.a. ankle extension."
148,95a9cc46-270e-45f2-8a17-5665a23ff70b,Calves,Calves,[],[],104,Calf Raises on Hackenschmitt Machine,"<p>Place yourself on the machine with your back firmly against the backrest, the feet are on the platform for calf raises. Check that the feet are half free and that you can completely stretch the calf muscles down.</p>
<p>With straight knees pull up your weight as much as you can. Go with a fluid movement down till the calves are completely stretched. Repeat.</p>"
152,87e6abc5-a701-442a-b4fb-bb2a7598a754,Back,[],Pull-up bar,[],803,Chin Up,"The chin-up (also known as a chin or chinup) is a strength training exercise. People frequently do this exercise with the intention of strengthening muscles such as the latissimus dorsi and biceps, which extend the shoulder and flex the elbow, respectively. In this maneuver, the palms are faced towards the body. It is a form of pull-up in which the range of motion is established in relation to a person's chin."
154,424da49e-d155-4247-bbb2-161a5c797789,Back,Lats,Pull-up bar,73,181,Chin-ups,<p>Like pull-ups but with a reverse grip</p>
157,a1d4f524-b6ca-4dd3-9998-41200f01b634,Arms,Triceps,Barbell,[],217,Close-grip Bench Press,"<p>Perform a typical bench press, but hold the bar with your hands approximately shoulder-width apart and keep your elbows close to your body.</p>"
158,63fbb8e5-6ebc-4def-8844-3e65e097213b,Back,Lats,[],[],213,Close-grip Lat Pull Down,"<p>Grip the pull-down bar with your hands closer than shoulder width apart, with your palms facing away from you. Lean back slightly. Pull the bar down towards your chest, keeping your elbows close to your sides as you come down. Pull your shoulders back at the end of the motion.</p>"
161,6e00afb6-272d-44a2-8ae3-e7fa41b50f06,Chest,Lats,[],[],194,Cross-Bench Dumbbell Pullovers,"<p>Grasp a moderately weighted dumbbell so your palms are flat against the underside of the top plates and your thumbs are around the bar. Lie on your back across a flat bench so only your upper back and shoulders are in contact with the bench. Your feet should be set about shoulder-width apart and your head should hang slightly downward. With the dumbbell supported at arm's length directly about your chest, bend your arms about 15 degrees and keep them bent throughout the movement. Slowly lower the dumbbell backward and downward in a semicircle arc to as low a position as is comfortably possible. Raise it slowly back along the same arc to the starting point, and repeat for the required number of repetitions.</p>"
165,36391719-d4ad-4e0f-991f-8eafd5947108,Abs,[],[],[],764,Crunch am TRX Oder Auf Ball,<p>Beine in die TRX-Schlingen oder auf einem großen Ball auflegen und mit den Händen unter den Schultern in eine Stützposition (Plank) kommen. Dann die Beine anziehen.</p>
167,b186f1f8-4957-44dc-bf30-d0b00064ce6f,Abs,Abs,Bench,3,91,Crunches,"<p>Lay down on your back a soft surface, the feet are on the floor. Ask a partner or use some other help (barbell, etc.) to keep them fixed, your hands are behind your head. From this position move your upper body up till your head or elbows touch your knees. Do this movement by rolling up your back.</p>"
171,7de7b8a8-313d-465f-bb22-8527ae45110a,Abs,Abs,Incline bench,135,56,Crunches an Schrägbank,"
<p>Der Ablauf der Übung ist im Prinzip wie bei den normalen Crunches, nur legst du dich auf eine Schrägbank oder eine andere geeignete Fläche. Stelle sicher, dass du nicht rutschen kannst indem du die Beine über den Rand anwikelst oder sonstwo festhalten kannst. Halte die Hände hinter dem Nacken verschränkt. Aus dieser Position führe den Oberkörper so weit nach oben, bis Kopf oder Ellenbogen die Knie berühren.</p>
<p>Es ist wichtig, dass dieser Vorgang mit einer rollenden Bewegung durchgeführt wird: die Wirbelsäule sollte sich Wirbel für Wirbel von der Matte lösen. Ein Hohlkreuz ist stets zu vermeiden.</p>
"
172,401989e0-64c3-459d-bc47-2c171ab4f41d,Abs,Abs,[],[],51,Crunches an Maschine,"
<p>Ablauf wie bei reguläre Crunches, nur mit zusätzlichem Gewicht an der Maschine.</p>
<p>Setzte dich hin, beide Füße stabil auf dem Boden. Nehme die Gewichte, Kabel, etc. fest und führe eine rollende Bewegung nach vorn (die Wirbelsäule sollte sich idealerweise Wirbel für Wirbel von der Lehne lösen). Kehre langsam in die Ausgangsposition zurück.</p>
"
173,29175281-afaf-4ffd-85e8-cfc38493e304,Abs,Abs,[],[],33,Crunches am Seil,"<p>Nehme das Kabel in die Hand und halte es neben den Schläfen fest. Knie dich nun vor dem Kabelzug mit geradem aber nach vorne gebeugtem Oberkörper hin. Rolle dich mit einer schnellen Bewegung zusammen, die Ellenbogen zeigen zu den Knien. Gehe langsam wieder zur Anfangsposition zurück.</p>"
174,b7ff64bc-7a7c-4dbc-af6f-fabc20425f5f,Abs,Abs,[],[],416,Crunches With Legs Up,"<p>On your back, legs extended straight up, reach toward your toes with your hands and lift your shoulder blades off the ground and back.</p>"
175,722a07f0-dea0-43bf-a2bf-0c50920849ba,Arms,Biceps,Bench,[],619,Curl su Panca a 45°,<p>Bicipiti su panca a 45°. Il movimento deve essere completo</p>
177,8dedde58-a5dc-4a23-ad20-fd7cf524f8b5,Legs,,none (bodyweight exercise),[],806,Cycling,"Cycling, also called bicycling or biking, is the use of bicycles for transport, recreation, exercise or sport. People engaged in cycling are referred to as cyclists, bicyclists, or bikers. Apart from two-wheeled bicycles, cycling also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles."
178,d4db2355-4c99-4d80-a179-6aeced7c7fed,Abs,[],[],[],544,Deadbug,"Lie on your back, with your hips and knees bent to 90°. Raise both arms toward the ceiling. Pull your lower back to the floor to eliminate the gap. Start by pressing one leg out, and tapping the heel to the floor. ""As you extend one leg, exhale as much as you can, keeping your lower back glued to the floor,"" Dunham says. When you can’t exhale any more, pull your knee back to the starting position. Make this more difficult by holding weight in your hands, or by lowering opposite arm and leg."
182,74d4697d-8a97-4ea2-9d05-fa4d2bd7221e,Arms,[],[],[],347,Deadhang,<p>Deadhang performed on an edge either with or without added weight (adujst edge or weight to adjust difficulty)</p>
184,ee8e8db4-2d82-49e1-ab7f-891e9a354934,Back,Lats,[],[],105,Deadlifts,"<p>Stand firmly, with your feet slightly more than shoulder wide apart. Stand directly behind the bar where it should barely touch your shin, your feet pointing a bit out. Bend down with a straight back, the knees also pointing somewhat out. Grab the bar with a shoulder wide grip, one underhand, one reverse grip.</p>
<p>Pull the weight up. At the highest point make a slight hollow back and pull the bar back. Hold 1 or 2 seconds that position. Go down, making sure the back is not bent. Once down you can either go back again as soon as the weights touch the floor, or make a pause, depending on the weight.</p>"
185,bcd801f0-9a38-4615-a91c-900153c8c234,Chest,Chest,Barbell,115,100,Decline Bench Press Barbell,"<p>Lay down on a decline bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up.</p>"
186,dda69c96-62d4-4690-aa07-a4a0f6ceb63a,Chest,Chest,Dumbbell,[],101,Decline Bench Press Dumbbell,"<p>Take two dumbbells and sit on a decline bench, the feet are firmly on the floor, the head is resting the bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.</p>"
188,b99c91be-8805-4e15-9cb6-486b55b81ae1,Chest,Chest,none (bodyweight exercise),[],260,Decline Pushups,"<p>With your feet raised approximately 30cm on a platform, align your shoulders, elbows and hands, then perform regular pushups. This emphasises the clavicular fibers of the pectoralis major.</p>"
189,e7a964cd-e68e-4926-bc7c-577065137e18,Back,[],Barbell,[],381,Deficit Deadlift,"<p>Preparation</p>
<p>Stand on weight plate, bumper plate, or shallow elevated platform with loaded bar above feet. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.</p>
<p> </p>
<p>Execution</p>
<p>Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Repeat.</p>
<p> </p>
<p>Comments</p>
<p>Throughout lift, keep hips low, shoulders high, arms and back straight. Knees should point same direction as feet throughout movement. Keep bar close to body to improve mechanical leverage. Grip strength and strength endurance often limit ability to perform multiple reps at heavy resistances. Gym chalk, wrist straps, grip work, and mixed grip can be used to enhance grip. Mixed grip indicates one hand holding with overhand grip and other hand holding with underhand grip. Lever barbell jack can be used to lift barbell from floor for easier loading and unloading of weight plates.</p>
<p>Barbell Deficit Deadlift emphasizes building strength through lowest portion of Deadlift. Target muscle is exercised isometrically. Heavy barbell deadlifts significantly engages Latissmus Dorsi. See Barbell Deficit Deadlift under Gluteus Maximus. Also see Deadlift Analysis.</p>"
190,c3502b66-98db-4177-8061-745df0ce1239,Back,Glutes,Barbell,[],729,Defizit Kreuzheben,"<p>Vorbereitung</p>
<p> </p>
<p>Stellen Sie sich auf eine Hantelscheibe, eine Stoßstangenplatte oder eine flache, erhöhte Plattform mit einer geladenen Stange über den Füßen. Hocken Sie sich hin und fassen Sie die Stange mit schulterbreitem oder etwas breiterem Überhand- oder Mischgriff.</p>
<p> </p>
<p>Ausführung</p>
<p> </p>
<p>Heben Sie die Stange an, indem Sie die Hüften und Knie ganz ausstrecken. Ziehen Sie die Schultern oben am Lift zurück, wenn sie abgerundet sind. Bringen Sie die Gewichte wieder auf den Boden, indem Sie die Hüften nach hinten beugen, während Sie die Knie nach vorne beugen. Halten Sie dabei den Rücken gerade und die Knie in dieselbe Richtung wie die Füße. Wiederholen.</p>
<p> </p>
<p>Bemerkungen</p>
<p> </p>
<p>Halten Sie beim Heben die Hüften niedrig, die Schultern hoch, die Arme und den Rücken gerade. Die Knie sollten während der gesamten Bewegung in dieselbe Richtung zeigen wie die Füße. Halten Sie die Stange dicht am Körper, um die mechanische Hebelwirkung zu verbessern. Griffkraft und Kraftausdauer schränken häufig die Fähigkeit ein, bei starken Widerständen mehrere Wiederholungen durchzuführen. Gymnastikkreide, Handgelenkbänder, Griffarbeit und gemischter Griff können verwendet werden, um den Griff zu verbessern. Gemischter Griff bedeutet, dass eine Hand mit Überhandgriff und die andere Hand mit Unterhandgriff gehalten wird. Mit dem Hebelhantelheber kann die Hantel vom Boden gehoben werden, um das Be- und Entladen von Hantelscheiben zu erleichtern.</p>
<p> </p>
<p>Unterer Rücken</p>
<p> </p>"
