_id,id,activity,metValue,intensityLevel,name,category,muscles,equipment,images
49189e88-40b6-4c0d-a784-0cc3abbb8e75,he367,health club exercise,7.8,6,Beinbeuger Stehend,Legs,Hamstrings,NaN,183
4ceb1ba5-1ce1-4fe3-b60a-5d0e173a2ab3,he370,health club exercise,7.8,6,Beinbeuger Sitzend,Legs,Quads,NaN,167
18104387-4567-4c1e-8d03-db0b274646dd,he375,health club exercise,7.8,6,Kniebeuge an Hackenschmidtmaschine,Legs,Quads,NaN,125
9e34bc01-9cec-4ee2-a9bb-9c937a471c24,he377,health club exercise,7.8,6,"Leg Raises, Lying",Abs,Abs,Gym mat,139
a7e6c20a-6ddc-4401-9935-ace2d02e3995,he394,health club exercise,7.8,6,Long-Pulley,Back,Lats,NaN,143
cbc5fbc9-9bca-4766-941d-4b6903d4a521,he427,health club exercise,7.8,6,Crunches an Negativbank,Abs,Abs,NaN,7
5930ce9c-dfbd-452c-9949-dd34c5e41fd6,he482,health club exercise,7.8,6,Liegestütz,Arms,Triceps,none (bodyweight exercise),55
a6c2a970-a621-4e03-be1d-4a29118b1687,he484,health club exercise,7.8,6,Rack Deadlift,Back,Glutes,NaN,145
32c129f7-cc28-4ebc-8465-e4fa62e220b1,he513,health club exercise,7.8,6,"Rowing, T-bar",Back,Lats,NaN,77
a68c991c-ac42-47c8-9a84-9b288a4a7a76,he521,health club exercise,7.8,6,Rudern Aufrecht ß-Stange,Shoulders,Shoulders,Barbell,69
d9e306b6-d6ff-4e61-b283-4b085d8edaaf,he525,health club exercise,7.8,6,Rudern Vorgebeugt LH Reverse,Back,Lats,Barbell,88
57e17672-52b9-43cf-8d0d-4b3f06a0c0d0,he537,health club exercise,7.8,6,Schrägbankdrücken KH,Chest,Chest,Dumbbell,105
275fb49f-975c-4d6e-9d63-2c86ed740f40,he538,health club exercise,7.8,6,Schrägbankdrücken LH,Chest,Chest,Barbell,129
60e9a0c0-5458-46cd-ab41-7d7b85225cf8,he539,health club exercise,7.8,6,Schrägbankdrücken MP,Chest,Chest,NaN,107
5912d7ed-6a0e-4b4c-b30a-fc9f3f890fc1,he543,health club exercise,7.8,6,Schultermaschine,Shoulders,Shoulders,NaN,195
8b0a0371-c0a9-42a7-aab7-68d520542fb2,he566,health club exercise,7.8,6,Schulterdrücken LH,Shoulders,Shoulders,Barbell,171
87affa4b-395b-437c-9581-2bd20ea5aa7c,he567,health club exercise,7.8,6,Schulterdrücken KH,Shoulders,Shoulders,Dumbbell,173
92702a8e-1d5f-4c59-aa18-5d8f6a2826e3,he568,health club exercise,7.8,6,"Shoulder Press, on Machine",Shoulders,Shoulders,NaN,175
270e108d-3cd2-45a9-807b-c357317eb15c,he571,health club exercise,7.8,6,"Shrugs, Barbells",Shoulders,Shoulders,Barbell,43
72a945ec-3a7f-424b-9a05-1616ef7dce91,he572,health club exercise,7.8,6,"Shrugs, Dumbbells",Shoulders,Shoulders,Dumbbell,39
a2f5b6ef-b780-49c0-8d96-fdaff23e27ce,he615,health club exercise,7.8,6,Kniebeuge,Legs,Quads,Barbell,151
24b62fb4-0158-486e-89f1-9a5f1db234ef,he641,health club exercise,7.8,6,T-Bar Rudern (breit),Back,Lats,NaN,76
557ae429-100d-4d5b-a173-e5186fa2d9bc,he665,health club exercise,7.8,6,Trizepsdrücken KH Über Kopf,Arms,Triceps,Dumbbell,62
