id,uuid,name,exercise_base,description,category,muscles,muscles_secondary,equipment
637,0fd6154d-fb53-4b24-acc0-1c5c05b57ebc,Back Squat,34,"<p>Place a barbell in a rack just below shoulder-height. Dip under the bar to put it behind the neck across the top of the back, and grip the bar with the hands wider than shoulder-width apart. Lift the chest up and squeeze the shoulder blades together to keep the straight back throughout the entire movement. Stand up to bring the bar off the rack and step backwards, then place the feet so that they are a little wider than shoulder-width apart. Sit back into hips and keep the back straight and the chest up, squatting down so the hips are below the knees. From the bottom of the squat, press feet into the ground and push hips forward to return to the top of the standing position.</p>",9,[],[],[]
38,4def60e7-ed8d-4a9d-bf76-ceb15ecf9779,Bankdrücken Eng,76,"<p>Lege dich auf die Bank, die Stange direkt über die Augen, die Knie etwas angewinkelt und die Füße fest auf dem Boden. Greife nun die Stange mit einem engen Griff (nicht mehr als 20cm.). Führe nun das Gewicht so weit nach unten, bis die Oberarme paralell zum Boden sind, gehe dann wieder nach obern. Bringe die Stange nicht wie beim (breiten) Bankdrücken auf Brusthöhe runter, sondern weiter unten. Auf der tiefsten Stelle sollten deine Arme einen rechten Winkel machen.</p>",8,[5],"[2, 4]","[1, 8]"
77,06450bcb-03a8-4bd7-8349-ef677ee57ea3,Bankdrücken KH,75,"<p>Der Bewegungsablauf ist ähnlich zur Übung mit einer Langhantel.</p>
<p>Nehme die Gewichte in die Hände und lege dich auf die Bank. Halte die Hanteln neben der Brust auf Brustwarzenhöhe und drücke sie nun nach oben, bis die Arme ausgestreckt sind. Lasse die Gewichte nun langsam und kontrolliert runter.</p>
<p> </p>",11,[4],"[2, 5]","[8, 3]"
15,198dcb2e-e35f-4b69-ae8b-e1124d438eae,Bankdrücken LH,73,"<p>Lege dich auf die Bank, die Stange direkt über die Augen, die Knie etwas angewinkelt und die Füße fest auf dem Boden. Greife die Stange breit und lasse sie langsam und kontrolliert runter, dabei sollte die Stange kurz auf Brustwarzenhöhe den Körper berühren. Dann das Gewicht wieder hochdrücken bis die Arme durchgestreckt sind.</p>
<p>Bei hohem Gewicht, empfielt sich natürlich einen <em>Spotter</em> zu haben, der einen hilft falls man die Stange nicht alleine hochdrücken kann.</p>
<p>Mit der Breite des Griffs kann außerdem kontrolliert werden, welcher Bereich der Brust stärker belastet wird:</p>
<ul>
<li>breiter Griff: äußere Brustmuskeln</li>
<li>enger Griff: innere Brustmuskeln und Trizeps</li>
</ul>",11,[4],"[2, 5]","[1, 8]"
343,1b9dc5bc-790b-4e21-a55d-f8b3115e94c5,Barbell Ab Rollout,41,"<p>Place a barbell on the floor at your feet.</p>
<p>Bending at the waist, grip the barbell with a shoulder with overhand grip.</p>
<p>With a slow controlled motion, roll the bar out so that your back is straight.</p>
<p>Roll back up raising your hips and butt as you return to the starting position.</p>",10,[14],[],[1]
407,1215dad0-b7e0-42c6-80d4-112f69acb68a,Barbell Hack Squats,43,<p>Perform leg squats with barbell behind your legs</p>,9,[],[],[1]
405,ae6a6c23-4616-49b7-a152-49d7461c2b7f,Barbell Lunges,46,"<p>Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg.</p>
<p>Remember to keep good posture.</p>",9,[10],[8],[1]
759,95b25f5e-4a01-48f1-a3df-2b7fe8fd624d,Barbell Reverse Wrist Curl,48,"<p>Sitting on a bench, grab a barbell with your palms facing down and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees.</p>
<p>Curl your knuckles towards your face, lifting the barbell. Pause for a moment in the top position, then slowly return the barbell to the starting position.</p>",8,[],[],[1]
344,2cd5e256-20a7-4bc8-a7a8-d62bf8ce00cf,Barbell Triceps Extension,50,"<p>Position barbell overhead with narrow overhand grip.</p>
<p>Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.</p>",8,[5],"[2, 4]",[1]
758,0fe97ed6-7d37-444c-90b6-f855cea68a6f,Barbell Wrist Curl,51,"<p>Sitting on a bench, grab a barbell with your palms facing up and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Perform the movement by curling your palms and wrists towards your face.</p>
<p>Pause for a moment in the top position, then slowly return the barbell to the starting position.</p>
<p> </p>",8,[],[],"[1, 8]"
259,c659577f-d9de-4e39-bcd1-1b0bf1f62d11,Bauch Stabilisation,56,<p>Auf Rolle liegend</p>,10,[6],[14],[4]
718,e4b3da5b-1803-42af-a50e-ffbac3853cd0,Bear Walk,57,"<p>-Stützen Sie Ihr Gewicht auf Ihren Handflächen und Ihren Füßen, nicht anders als in der normalen Liegestützposition</p>
<p> </p>
<p>- Bewegen Sie sich, indem Sie mit der R-Handfläche und dem L-Fuß, dann mit der L-Handfläche und dem R-Fuß treten. Gehen Sie im Grunde wie ein trampelnder Bär.</p>
<p> </p>
<p>-Bewegen Sie sich so schnell wie möglich. Messen Sie Ihre Wiederholungen / Sätze entweder in der Entfernung (d. H. 40 Meter) oder in der Zeit (d. H. 45 Sekunden).</p>
<p> </p>
<p>-Arbeitet an Pecs, Deltamuskeln, Trizeps, Trapezius, Lats, Abs und Lendenwirbelsäule, Hüftbeugern, Quads, Gesäßmuskeln und Waden</p>",11,"[2, 7, 4, 6, 3, 15, 5]","[8, 12, 14, 10, 9]",[7]
307,1b8b1657-40fd-4e3b-97b7-1c79b1079f8e,Bear Walk,57,"<p>-Rest your weight on your palms and the balls of your feet, not dissimilar to normal pushup position</p>
<p>-Move by stepping with your R palm and L foot, then your L palm and R foot.  Basically, walk like a lumbering bear.</p>
<p>-Move as fast as you can.  Measure your reps/sets in either distance (i.e. 40 yards) or time (i.e. 45 seconds)</p>
<p>-Works your Pecs, Deltoids, Triceps, Traps, Lats, Abs and Lower Back, Hip Flexors, Quads, Glutes and Calves</p>",11,"[2, 7, 4, 6, 3, 15, 5]","[8, 12, 14, 10, 9]",[7]
230,981ef1f0-414a-478b-bc1b-9c6afa45bc77,Beckenheben,294,"<p>Lege dich auf die Matte, die Arme sind ausgestreckt und bilden einen rechten Winkel mit dem Körper. Bringe mit etwas Schwung die Beine in eine senkrechte Position. Hebe nun mit einer kontrollierten Bewegung den Becken etwa 5 cm. hoch. und bringe ihn langsam wieder runter. Ohne Pausen wird die Bewegung wiederholt.</p>",9,[8],[],"[1, 8]"
22,8f0170a2-5274-4487-a295-1a9baf2c92a3,Beinbeuger Liegend,365,"<p>Lege dich auf dem Bauch auf die Bank und klemme die Beine unter der Halterung (eher im unteren Wadenbereich ansetzen). Halte dich fest und bringe nun das Gewicht nach oben, in dem du die Beinbizeps zusammenziehst, gehe langsam wieder nach unten. Während der Übung muss der Körper fest bleiben.</p>",9,[11],[],[]
133,da7fccca-941e-457a-a2eb-d0c56d419938,Beinbeuger Sitzend,370,"<p>Setze dich auf das Geräts und schiebe dich so weit nach hinten, bis du die Rückenlehne berührst. Lege deine Beine auf das Polster (verstelle die Höhe so, dass es knapp unter den Waden Kontakt macht). Drücke nun das Gewicht nach unten indem du die Beine beugst, die Fußspitzen sind angespannt und zeigen nach oben (90° Winkel). Bringe dann das Gewicht langsam wieder hoch, strecke aber die Beine nicht komplett aus.</p>",9,[10],[],[]
72,9075241c-0493-4f2a-a399-a57e3634093e,Beinbeuger Stehend,367,"<p>Diese Übung wird jeweils mit einem Bein durchgeführt.</p>
<p>Stelle dich vor der Maschine und stelle deine Waden hinter dem Polster (setzte die Höhe so ein, dass es knapp unter den Waden ansetzt). Beuge nun das Bein bis dein Knie einen rechten Winkel einnimmt, bringe das Gewicht nun langsam und kontrolliert wieder nach unten.</p>",9,[11],[],[]
714,68f96d3e-9172-468c-9018-06f71a97faff,Beinheben am Roman Chair,505,<p>Stütze dich mit dem Unterarmen ab und hänge im Gerät. Ziehe die Knie Richtung Brust und lasse sie wieder kontrolliert zum Boden zurück.</p>,10,[],[],[]
35,ecff5124-9f6a-414a-b91a-70101847b76d,Beinheben Aufrecht,64,"<p>Stelle dich mit den Unterarmen fest auf die Polster der Beinhebemaschine, der Körper hängt frei nach unten. Hebe nun die Beine so weit wie möglich nach oben, wobei an der höchsten Stelle eine kurze Pause eingelegt wird. Bringe sie dann langsam und kontrolliert wieder nach unten. Während der Übung darf der Körper nicht mitschwingen, nur die Beine sollten sich hier bewegen.</p>",10,[6],[3],[]
280,b85a9224-a562-4924-a0f1-5ead09943c75,Beinheben im Hang,65,"<p>Ausgangspostion im Hang, die Beine sind angebhoben (Oberschenkel-Rumpf-Winkel 90°)</p>
<p>Von hier aus kleine Hebebewegungen ausführen, die Hüftgelenke bleiben in der Endposition gebeugt (90°)</p>",10,[6],[],[6]
34,342e5889-fee2-420e-a287-f6e5a7f6c4b1,Beinheben Liegend,67,"<p>Lege dich auf die Bank und greife mit den Armen die Lehne o.Ä. damit du stabil liegst. Halte die Beine ausgestreckt und hebe sie, bis sie einen Winkel von etwa 45° bilden. Mache eine kleine Pause von ca. 1 sek. und gehe langsam wieder runter. Du kannst zur Steigerung z.B. jedes 5. Mal, eine längere Pause von 7 Sekunden machen.</p>",10,[6],[3],[4]
6,a27cfdd9-5299-49ab-85f5-6e4042657549,Beinpresse,371,"<p>In die Maschine setzten und die Füße auf die Auflage stellen, der Abstand, etwas mehr als schulterbreit. Die Füße sind etwas nach außen gedreht.</p>
<p>Das Gewicht wird so weit abgesenkt, dass die Knie einen rechten Winkel machen. Sofort wird das Gewicht nach oben gedrückt. Die Knie zeigen etwas nach außen und werden nie ganz ausgestreckt, die Bewegung bleibt immer flüssig, also weder oben noch unten irgendwelche Pausen einlegen!</p>",9,"[11, 7, 8, 10]","[7, 8]",[]
54,e7d0cc2d-e28b-479f-91d9-7eab7b686fd8,Beinpresse Eng,373,"<p>In die Maschine setzten und die F&uuml;&szlig;e auf die Auflage stellen. Dabei sollte etwa so viel Platz dazwischen bleiben, dass noch ein Fu&szlig; dazwischen Platz h&auml;tte. Die F&uuml;&szlig;e sind wie beim normalen Bankdr&uuml;cken etwas nach au&szlig;en gedreht.</p>
<p>Der Bewegungsablauf ist wie bei bei der breite Beinpresse: das Gewicht wird so weit abgesenkt, dass die Knie einen rechten Winkel machen. Ohne Pause wird dann das Gewicht nach oben gedr&uuml;ckt. Die Knie zeigen etwas nach au&szlig;en und werden nie ganz ausgestreckt, die Bewegung bleibt immer fl&uuml;ssig, also weder oben noch unten irgendwelche Pausen einlegen!</p>",9,[10],[8],[]
39,a07629b2-a422-4da0-b70a-810fa203bf12,Beinstrecker,70,"<p>Setze dich in die Beinstreckermaschine. Der Rücken soll einen festen Halt haben, stelle die Maschine so ein, dass du fest sitzt. In der Anfangsposition sind die Beine entwas nach hinten angewinkelt. Drücke das Gewicht nach oben bis die Beine nahezu vollständig ausgestreckt sind. Gehe langsam und kontrolliert wieder runter.</p>",9,[10],[],[]
69,71efbc60-c301-453e-8ac7-4184b16a4681,Beinstrecker Einbeinig,71,"<p>Der Bewegungsablauf ist wie beim beidbeinigem Beinstrecker:</p>
<p>Setze dich in die Beinstreckermaschine. Der Rücken soll einen festen Halt haben, stelle die Maschine so ein, dass du fest sitzt. In der Anfangsposition sind die Beine entwas nach hinten angewinkelt. Drücke das Gewicht nach oben bis die Beine nahezu vollständig ausgestreckt sind. Gehe langsam und kontrolliert wieder runter.</p>",9,[10],[],[]
192,5da6340b-22ec-4c1b-a443-eef2f59f92f0,Bench Press,73,"<p>Lay down on a bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up.</p>
<p>If you train with a high weight it is advisable to have a <em>spotter</em> that can help you up if you can't lift the weight on your own.</p>
<p>With the width of the grip you can also control which part of the chest is trained more:</p>
<ul>
<li>wide grip: outer chest muscles</li>
<li>narrow grip: inner chest muscles and triceps</li>
</ul>",11,[4],"[2, 5]","[1, 8]"
97,0ec76f5d-1311-4d6d-bf79-00fa17c3061a,Benchpress Dumbbells,75,"<p>The movement is very similar to benchpressing with a barbell, however, the weight is brought down to the chest at a lower point.</p>
<p>Hold two dumbbells and lay down on a bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.</p>",11,[4],"[2, 5]","[8, 3]"
88,03d821e7-e1ac-4026-903b-d406381cbf76,Bench Press Narrow Grip,76,"<p>Lay down on a bench, the bar is directly over your eyes, the knees form a slight angle and the feet are firmly on the ground. Hold the bar with a narrow grip (around 20cm.). Lead the weight slowly down till the arms are parallel to the floor (elbow: right angle), press then the bar up. When bringing the bar down, don't let it down on your nipples as with the regular bench pressing, but somewhat lower.</p>",8,[5],"[2, 4]","[1, 8]"
268,34ce7ec5-12a1-4bf8-b4f1-94544c3f1cfc,Bent High Pulls,79,"<p>Bend over slightly while holding two dumbbells.  Pull the dumbbells up to your chest, keeping your elbows as high as you can.</p>",13,[9],[],[3]
412,b8466ace-ebc7-42bb-941c-39e0e7e67a4f,Bent Over Barbell Row,80,"<ol>
<li>Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.</li>
<li>Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause.</li>
<li>Then inhale and slowly lower the barbell back to the starting position.</li>
<li>Repeat for the recommended amount of repetitions.</li>
</ol>",12,[],[],[1]
362,f866fd75-c18d-4419-84b9-1b9ccd22adba,Bentover Dumbbell Rows,81,"<p>With dumbbells in hand, bend at the hip until hands hang just below the knees (similar to straight-legged-deadlift starting position). Keep upper body angle constant while contracting your lats to pull you ellbows back pinching the shoulder blades at the top. Try not to stand up with every rep, check hands go below knees on every rep.</p>",12,[12],[],[]
421,170cc52f-345f-41b3-bdae-8a5e0c9aa449,Bent-over Lateral Raises,82,"<p>Sit on bench while holding weights. Bend forward as far as possible, with arms slightly bent at the elbow. Perform a lateral raise while maintaining the bend in your elbow.</p>",13,[],[],"[8, 3]"
919,2b0205ef-40cc-49d3-b982-d42b60f05ebb,Bent Over Laterals,352,"<p>The bent over lateral raise directly hits the rear deltoids (Shoulders). Considered an isolation exercise, it also exercises the trapezius muscles, which are considered secondary muscles. This exercise also hits the side deltoids as well.</p>









<p>1. In a seated position with your feet firmly planted on the floor, grasp two dumbbells with both hands.</p>
<p>2. Bend over until your body is roughly parallel to the ground or slightly above. Your chest should almost be touching your thighs.</p>
<p>3. In a controlled fashion, raise the dumbbells with both hands using your shoulders, out and away from the body. You should raise the dumbbells to each side until they are parallel with the upper back.</p>
<p>4. Pause for a moment and slowly lower the weight to the initial position.</p>








",13,[2],[9],[3]
109,f82c579e-c069-4dc7-8e36-a3266dfd8e4a,Bent Over Rowing,83,"<p>Grab the barbell with a wide grip (slightly more than shoulder wide) and lean forward. Your upper body is not quite parallel to the floor, but forms a slight angle. The chest's out during the whole exercise.</p>
<p>Pull now the barbell with a fast movement towards your belly button, not further up. Go slowly down to the initial position. Don't swing with your body and keep your arms next to your body.</p>",12,[12],"[2, 1]",[1]
110,77688310-f2cf-4d37-a854-dca906387be7,Bent Over Rowing Reverse,84,"<p>The same as <em>regular</em> rowing, but holding a reversed grip (your palms pointing forwards):</p>
<p>Grab the barbell with a wide grIp (slightly more than shoulder wide) and lean forward. Your upper body is not quite parallel to the floor, but forms a slight angle. The chest's out during the whole exercise.</p>
<p>Pull now the barbell with a fast movement towards your belly button, not further up. Go slowly down to the initial position. Don't swing with your body and keep your arms next to your body.</p>",12,[12],"[2, 1]",[1]
74,c56078d2-ae85-4524-a467-d1e143b6df1a,Biceps Curls With Barbell,91,"<p>Hold the Barbell shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",8,[1],[13],[1]
81,48a59aa8-4568-409c-8afe-f8cb99c558ea,Biceps Curls With Dumbbell,92,"<p>Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further outwards. Without a pause, bring them down, slowly.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",8,[1],[13],[3]
80,38919515-ce04-4383-9c3f-5846edd0e844,Biceps Curls With SZ-bar,94,"<p>Hold the SZ-bar shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",8,[1],[13],[2]
129,8c6c1544-cbf8-403c-ae12-b27b392702f8,Biceps Curl With Cable,95,"<p>Stand around 30 - 40cm away from the cable, the feet are firmly on the floor. Take the bar and lift the weight with a fast movements. Lower the weight as with the dumbbell curls slowly and controlled.</p>",8,[1],[],[]
3,ef487de3-f071-41bf-85a6-6e76afe9c732,Bizeps am Kabel,95,"<p>Stelle dich gerade etwa 30 - 40 cm. vor dem Kabel hin, die Füße sind fest auf dem Boden. Nehme die Stange in die Hände und hebe das Gewicht mit einer schnellen Bewegung. Lassie die Stange wie bei den KH Curls kontrolliert wieder runter.</p>",8,[1],[],[]
231,1ea6774c-083a-4141-89cf-4c0e973ede12,"Bizeps am Kabel, ß-Stange",105,"<p>Wie ""Bizeps am Kabel"", nur mit einer ß-Stange</p>",8,[1],[],[]
44,8277124a-9ef2-442a-9824-7ab4439a5f1f,Bizeps Curls Mit ß-Stange ,94,"<p>Halte die Hantel mit etwa schulterbreitem Griff, die Arme sind ausgestreckt. Beuge die Arme und brige die Hantel mit einer schnellen Bewegung nach oben. Ohne Pause wird das Gewicht nun kontrolliert nach unten gebracht. Beachte, dass die Bewegung nach oben schneller ist als nach unten.</p>
<p>Während des Bewegungablaufs darf der Körper nicht mitschwingen. Die Ellenbogen bleiben dabei immer an der Stelle.</p>",8,[1],[13],[2]
26,8cbbffcc-1989-43de-9200-03869480398c,Bizeps KH-Curls,92,"<p>Halte zwei Kurzhantel mit ausgestreckten Armen neben dem Körper, die Handflächen zeigen nach innen. Beuge die Arme und brige die Hanteln mit einer schnellen Bewegung nach oben wobei sie gleichzeitig um 90 Grad gedreht werden. Am höchsten Punkt kann man die Hanteln ganz leicht weiter nach außen drehen. Ohne Pause wird das Gewicht nun kontrolliert nach unten gebracht. Beachte, dass die Bewegung nach oben schneller ist als nach unten.</p>
<p>Während des Bewegungablaufs darf der Körper nicht mitschwingen. Die Ellenbogen bleiben dabei immer an der Stelle.</p>",8,[1],[13],[3]
242,0842e81e-7b90-4d68-8e6b-e9a7c0186b54,Bizeps KH-Curls Schrägbank,204,"<p>Sitz auf einer ca. 45° nach hinten geneigten Schrägbank; Oberkörper und Kopf an die Rückenlehne angelehnt.</p>
<p>Rumpfmuskulatur anspannen, Rücken bleibt gerade, Blick geradeaus.</p>
<p>Die Kurzhanteln werden jeweils im neutralen Hammergriff gefasst (Handinnenflächen zeigen zueinander). Die Arme hängen, leicht gebeugt, seitlich herab. Durch die Neigung der Rückenlehne befinden sich die leicht gebeugten Arme hinter der Körperachse.</p>
<p>Handgelenke in Verlängerung des Unterarms.</p>
<p>Beugen und Strecken im Ellbogengelenk in einer gleichmäßigen, parallelen Bewegung nah am Körper vorbei; Dabei zeigt der Oberarm weiter nahezu unverändert senkrecht nach unten.</p>
<p>Die Unterarme während der Beugephase entweder auswärts drehen (Supination), so dass in der Endposition die Handinnenfläche zum Körper hin zeigt bzw. die Kurzhantel im Untergriff gehalten wird oder ohne Auswärtsdrehung der Unterarme beugen, so dass in der Endposition der Daumen zum Körper zeigt bzw. die Kurzhantel im neutralen Hammergriff gehalten wird.</p>
<p>Die Arme weder maximal beugen noch ganz durchstrecken.</p>
<p>Bei der Spuinationsvariante werden die Unterarme in der Abwärtsbewegung wieder nac innen zurückgedreht.</p>
<p>Richtige Atmung: Beim Beugen ausatmen, beim Strecken einatmen.</p>",8,[1],[13],[3]
24,2e3fa138-3894-4f61-959a-d8966804a1a3,Bizeps LH-Curls,91,"<p>Halte die Hantel mit etwa schulterbreitem Griff, die Arme sind ausgestreckt. Beuge die Arme und brige die Hantel mit einer schnellen Bewegung nach oben. Ohne Pause wird das Gewicht nun kontrolliert nach unten gebracht. Beachte, dass die Bewegung nach oben schneller ist als nach unten.</p>
<p>Während des Bewegungablaufs sollte der Körper nicht mitschwingen. Die Ellenbogen bleiben dabei immer an der Stelle.</p>",8,[1],[13],[1]
679,635b4ee0-7a37-4434-a3e2-de348f4c2976,Body-Ups,113,"<p>Nehmen Sie eine Dielenposition auf dem Boden ein. Sie sollten Ihr Körpergewicht auf Zehen und Unterarmen abstützen und Ihren Oberkörper gerade halten. Ihre Unterarme sollten schulterbreit auseinander liegen. Dies wird Ihre Startposition sein.</p>
<p>Drücken Sie Ihre Handflächen fest in den Boden und strecken Sie sie durch die Ellbogen, um Ihren Körper vom Boden abzuheben. Halten Sie Ihren Oberkörper steif, während Sie die Bewegung ausführen.</p>
<p>Lassen Sie Ihre Unterarme langsam wieder auf den Boden sinken, indem Sie die Ellbogen beugen.</p>
<p>Wiederholen Sie diesen Vorgang nach Bedarf.</p>",8,[5],[],[7]
341,4e15a410-5530-4b86-964f-8af26e118e2b,Body-Ups,112,"<ol>
<li>Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.</li>
<li>Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement.</li>
<li>Slowly lower your forearms back to the ground by allowing the elbows to flex.</li>
<li>Repeat as needed.</li>
</ol>",8,[],[],[7]
342,5bd3ba00-8f4e-4935-a682-87b150d830c8,Braced Squat,124,"<p>Stand with feet slightly wider than shoulder-width apart, while standing as tall as you can.</p>
<p>Grab a weight plate and hold it out in front of your body with arms straight out. Keep your core tight and stand with a natural arch in your back.</p>
<p>Now, push hips back and bend knees down into a squat as far as you can. Hold for a few moments and bring yourself back up to the starting position.</p>",9,[10],[8],[]
765,04bb8808-dab8-46a4-8e92-c92c7687ee76,Brücke Auf Dem Ball,127,"<p>Ausgangsposition: Auf den Rücken legen. Großer Gymnastikball unter die Beine legen und schräg in der Brücke mit angespanntem Körper bleiben.</p>
<p>Anschließend die Beine bis 90 Grad anwinkeln und wieder absetzten in Ausgangsposition zurück.</p>",9,[],[],[]
199,61f77ca6-0e8d-42c7-b01f-aa83a0d7b386,Brustpresse,129,<p>.</p>,11,[4],[],[]
914,a9f2d62a-6a3c-4b20-b3ff-cb3654bf3195,Bulgarian Split Squat,748,"<p>1. Find a stable implement (a bench or a chair) and place the left foot hip-distance in front of the right one. Your core should be engaged, your shoulders should be back and your eyes and chest should face forward.</p>
<p>2. Raise the right leg off the ground and pulace it on the bench behind you.</p>
<p>3. Check your balance and distance between the feet. Your feet should not be on the same line as that will make it difficult to balance.</p>
<p>4. Bend your left knee and lower downard. Maintain position and push upward. The right knee is used only for balance and should bend by itself.</p>
<p>5. Switch the feet and repeat</p>
<p>The exercise can be done without weights, with dumbbells or a barbell.</p>",9,[10],"[11, 8]","[1, 8, 3, 7]"
354,6335de72-146f-4f38-886d-6b8a27db62ff,Burpees,132,"<p>Jump, lay down on your chest, do a pushup then jump, repeat</p>",11,[],[],[]
719,5bae16b0-cefb-4fc7-be2b-e31794335c42,Burpees,132,"<p>Spring, leg dich auf deine Brust, mach einen Liegestütz und spring, wiederhole</p>",11,[],[],[]
98,3c3857f8-d224-4d5a-8cc1-f4e7982d3475,Butterfly,135,"<p>Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.</p>",11,[4],[2],[]
30,9df24c6f-016b-4623-8878-f71c235c50fa,Butterfly,135,"<p>Setzte dich auf den Sitz der Butterflymaschine, die Füße sollen dabei guten Kontakt mit dem Boden machen, die Oberarme sind waagerecht zum Boden. Drücke nun die Gewichte zusammen, wobei die Griffe sich nicht berühren sollen. Gehe nun wieder zurück, das Trainingsgewicht darf dabei nicht abgelegt werden.</p>",11,[4],[2],[]
52,44b0d79a-5c5b-43df-bf62-3e67148f1c33,Butterfly Eng,137,"<p>Setzte dich auf den Sitz der Butterflymaschine, die Füße sollen dabei guten Kontakt mit dem Boden machen, die Ellenbogen machen etwa einen Rechten Winkel, die Oberarme sind waagerecht zum Boden. Drücke nun die Gewichte zusammen, wobei die Griffe sich nicht berühren sollen. Gehe nun wieder zurück, das Trainingsgewicht darf dabei nicht abgelegt werden.</p>",11,[4],[],[]
