폰모델 제목,가격,등록시간,내용
#당일발송# 아이폰12프로맥스 128G/256G/512G 등급별 중고폰!,"925,000",2주 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!💟후기 이벤트[후기작성을 약속해 주세용!!]💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟💟   아이폰 12 PRO MAX   💟💟⭕️SS급 :  128G - 100.5만원                   256G - 104.5만원                  512G - 107.5만원[새폰처럼 보이는 magic!]⭕️S급 :  128G -  98.5만원                256G - 102.5만원                512G - 105.5만원[완전 깨끗한 s급!]⭕️A급 :  128G - 92.5만원                256G - 97.5만원               512G - 101.5만원[사용감있지만 기능&가성비 최고!]⭕️ B급 : 재고없음[ 전체적인 중고감 & 액정에 잔상및 기스가 있는 제품]🔎 상품상세 🔎•색상 : 스페이스그레이,블루,실버,골드•기가수 :  128G/256G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•알뜰폰[유심만 변경하면 바로 사용 가능]🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                    ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
갤럭시S20 화이트128기가 A급 판매합니다,"390,000",1시간 전,미세한 생활기스만있고찍힘없이 깨끗합니다최초통신사KT 정상해지공기기강화필름+케이스+빈박스 같이드립니다
노트20 브론즈 256기가 A급 판매합니다,"420,000",1시간 전,잔상은없이 깨끗하지만 뒷판끝에 찍힘한방있습니다. 그외엔 생활기스만 조금있고전체적으로 A급입니다최초통신사sk 정상해지공기기모든통신사 선택약정 가능합니다강화필름+케이스+충전기 같이드립니다
갤럭시S9+ 블랙256G 판매합니다,"200,000",1시간 전,생활기스만 있고 큰찍힘없이 깨끗합니다잔상은 미세하게 있어서 티가거의안납니다최초통신사KT 정상해지공기기모든통신사 선택약정 가능합니다풀카바필름+케이스+충전기 같이드립니다
갤럭시s20+ 화이트256G 센터판 A급 판매,"550,000",1시간 전,액정.배터리.테두리 삼성센타에서1월11일 새제품으로 교체후 미사용그대로 보관중입니다. 뒷판에만 미세생활기스있음최초통신사KT 정상해지공기기모든통신사 확정기변 가능합니다투명범퍼케이스와 충전기 같이드립니다
#당일발송#LG 벨벳 128G 대량판매 등급별 중고폰 공기계!,"185,000",2주 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!           💟5월 1일~ 5~31일 한정 후기 이벤트💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟💟    LG G9(벨벳)    💟💟⭕️SS급 : 128G - 21.5만원[미세한 생활기스만 있는 새폰 컨디션!]⭕️S급 : 128G - 20.5만원 [SS급 컨디션에서 미세 사용감 있음!]⭕️A급 : 128G - 18.5만원[사용감있지만 기능&가성비 최고!]⭕️B급 :  128G - 재고없음[작업용&투폰&쓰리폰 강추!!]🔎 상품상세 🔎•색상 : 블랙,그린,화이트,레드,일루전선셋•기가수 :  128G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•정상해지/확정기변/25%약정할인가능 🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                   ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
아이폰xs 스그256G 특A급 배터리성능90%,"450,000",1시간 전,큰찍힘없이 미세생활기스만 조그있고사진상태와 동일합니다내부 잔상없이 화면깨끗하고 기능및 작동 아무문제없습니다. 정상해지공기기 모든통신사 사용가능방탄필름+뒷판필름+투명케이스 드립니다
갤럭시폴드2 브론즈256G 특S급 판매합니다,"950,000",1시간 전,잔상찍힘기스없이 완벽하며실기스하나없이 새폰같은컨디션입니다최초통신사KT 정상해지공기기모든통신사 확정기변 가능합니다휴대폰단품과 케이스 드립니다
s10+ lte 핑크128G 초특급sss급 판매합니다,"400,000",1시간 전,배터리 액정 테두리 새제품으로 교체후실사용1달 사용했으며실기스조차없는 새폰과같은 상태입니다S급 자부합니다. 옆.뒤 초기필름ok최초통신사kT 정상해지 공기기 선약가능강화필름과 케이스 충전기 같이드립니다네고X
갤럭시s8 64g 등급별 수량 많아요,"110,000",1시간 전,"안녕하세요. 부천 중고폰 도매 업체입니다.24시간 핸드폰 문의 가능사진에 없는 기기도 문의 주시면 찾아드립니다. 대량폰 환영, 게임폰 환영, 영업폰 환영0.1.0.8.4.0.2.9.9.5.3▶ 기기검수 100%▶ 실사 100%▶ 정상해지 공기계▶ 3사 통신사(SK,KT,LG) 호환 가능▶ 알뜰폰, 선불폰 사용 가능▶ 선택약정 25% 할인 가능▶ 도난, 분실, 침수 이력 없음▶ 1주 이내 기기 문제 시 교품 가능▶ 4시 이전 주문 건 당일 배송 ▶ 직거래 환영♥ 기기명: 갤럭시s8♥ 용량: 64g♥ 색상: 블랙, 레드, 오키드♥ 구성품: 필름, 케이스♥ 제품설명:A급: 130,000원B급: 120,000원C급: 110,000원정직하게 판매합니다.  발송 전 다시 한번 꼼꼼히 검수 후 발송해 드리고 있으며, 문제될 부분 있을 시 사전에 안내 후 발송해 드리고 있습니다.※ 단순 변심 환불, 교환은 어려우니 사진상태, 내용 확인하시고 구매 결정 부탁드리며, 가까우신분들은 직거래를 권장합니다.※ 자세한 상담은 문자/전화 주시면 친절히 상담해드리겠습니다.※ 전 기종 문의 환영 0.1.0.8.4.0.2.9.9.5.3매장 주소: 경기도 부천시 부일로 223, 2층"
#당일발송#아이폰11프로맥스 64G/256G/512G 대량판매 초특가,"645,000",2주 전,"★ 번개장터 구매고객 특별이벤트 ★1,구입후 중고폰 100일 제품보증 실시 안심하고 구매 하세요. 2,최고급 사은품 8종 무료 증정3,구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)4,출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!5,코로나 시대 소독 세척 실시!★ 최고급 사은품 8종 ★(최고급케이스+최고급유리필름+충전기+유심핀+그립톡+제품보증+무료배송) 💟💟   아이폰 11 PRO MAX   💟💟 ⭕️SS급 : 64G - 70.5만원               256G - 78.5만원               512G - 81.5만원[새폰같은 magic!]⭕️S급 :  64G - 67.5만원             256G - 75.5만원             512G - 78.5만원[완전 깨끗한 s급!]⭕️A급 :  64G - 64.5만원             256G - 72.5만원             512G - 75.5만원[사용감있지만 기능&가성비 최고!]⭕️ B급 :  64G - 재고없음              256G - 재고없음              512G - 재고없음[ 작업용&투폰&쓰리폰 강추!!]🔎 상품상세 🔎•색상 : 스페이스그레이,실버,골드•기가수 :  64G/256G/512G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•정상해지/확정기변/25%약정할인가능 🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 11:00시부터~오후7시                   ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
아이폰 SE2 블랙 64GB + 버즈라이브,"240,000",1시간 전,아이폰 SE2 블랙 64GB 좌측하단 액정 찍힘 외관 스크레치 일부 있음배터리 85%최초 통신사 LG유플러스사용 기간 2년 선택약정 가능전 통신사  모두 사용 가능버즈라이브 미스틱 블랙(왼쪽 이어팁 분실)가격 - 24만원(두제품 모두 구매시)- 19만원(폰 단독 구매시)- 6만원 (버즈라이브 단독 구매시)합리적 네고가능
갤럭시노트8 64GB 판매합니다,"150,000",1시간 전,"- 모델명 : 갤럭시노트8- 용량(기가수) : 64- 색상 : 블루#통신호환 : SKT , KT , LG U+ , 선불폰 , 알뜰폰 모든 유심 가능합니다 (20%선택약정할인 및 확정기변가능) #정상해지여부 : O#거래방식 : 직거래/택배거래/퀵거래#직거래가능지역 : 서울강서,양천구/부천전지역/인천계양,부평●터치,카메라,소리,기능 점검 완료 이상 없습니다!●중고 휴대폰 특성상 미세한 실기스는 있을수 있습니다 새폰같은 중고폰이지 새폰 아닙니다●구성품은 기기단품 입니다●택배거래는 CJ대한통운과 우체국택배로 오후5시30까지 입금해주시면 당일 수거전 발송되어 제주도외 전국 어디든지 다음날 수령 가능하십니다~"
갤럭시S20울트라 S급 256GB 블랙 28295,"350,000",1시간 전,"상품번호: 28295★상품문의 O1O-806 1-8026♣상점에서 판매중인 모든제품은 기능불량 없는 정상제품입니다(검수완료) ♣ ○기기단품 ○외관등급 : S급(미세한 사용감)○잔상: 강잔상○용량 : 256GB○색상 : 블랙○최초통신사 : SKT○최초통화일 : 20.04.18○25%선택약정가능 / 공기계----------------------------------------------------●제품설명●기기상태는 사진과 동일합니다외관등급 S급 , 강잔상 기기입니다SKT / KT / LGU+ 상관없이 모든 통신사 사용 가능5G, 4G 유심, 알뜰유심,선불유심 전부 사용가능‐---------------------------------------------------☆상품문의 O1O-8061-8026◎모든 제품은 구매시 소독하여 발송합니다◎거래방식직거래:인천 주안역택배거래:평일 16:00이전 입금확인시 당일발송"
갤럭시 퀀텀2 블랙 SK 액정깨끗한기기초특가판매,"184,000",1시간 전,"﻿109760[제품정보]​♥ 기기명: 갤럭시 퀀텀2 (A826)♥ 색상 : 블랙♥ 최초 개통 통신사 : SK (3사 호환가능)♥ 최초 개통일: 2021.04.21♥ 용량 : 128GB♥ 제품상태 : A급♥ 가격 : 184000원♥ 구성품 : 충전기 +필름 +케이스​[제품설명]​* 25% 선택약정 가능합니다 *​*A/S 무상보증기간 남아 있습니다 *테두리찍힘기스 뒤사용감기스있습니다초미세잔상있습니다케이스필름끼우면 사용하는데 불편함 없습니다~잔상 기능 전혀문제 없습니다~​[기능 검수 완료된제품이며 기능 이상 있을시 7일(교환,반품) 입니다](단순변심,고객과실,교환할때 상태 달라졌을시 제외)​[거래방식]​택배 / 직거래(매장방문)​[업체정보 및 연락처]♥주소지 : 경기도 부천시 심곡동 171-13 3층(부천역 4번출구로 나오시면 됩니당!)♥연락처 : ***-****-****​﻿"
#한정판매#아이폰11프로맥스 그레이 64GB 중고폰 공기계 [69084],"705,000",3일 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!        💟후기 이벤트[후기작성을 약속해 주세용!!]💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]♨대량구매 문의 대환영♨[제품정보]     용량: 64G색상: 스페이스그레이제품등급: S 급배터리 효율: 위 사진상태: 상세사진 참고⚠️통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)⚠️확정기변/25%약정할인가능(알뜰유심,선불유심 전부사용가능) 문의주세용!!🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡💙모든거래 선 결재 후 배송입니당! 유의해주세용💙📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📦번개페이📦번개장터 번개페이 결제시※반드시 판매자 사전 협의이후 결제 부탁 드립니다※📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전??)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후7시 30분     주말:오후 13:00시부터~오후6시 30분💟💟13:00~14:00 점심시간입니다. [해당시간만 피해주세요!]💟💟                 ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는w       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
갤럭시A905G 128GB 화이트 7332,"140,000",1시간 전,"😀필독사진, 게시글 꼭 확인해주세요!사진의 빛은 조명 불빛입니다!😐상품설명❣ 모델명 : 갤럭시A905G❣ 최초통신사 : KT( SK,LG,KT 호환 가능 , 알뜰폰/선불폰 사용가능 )❣ 최초개통일 : 20.06.23❣ 용량 : 128GB❣ 색상 : 화이트❣ 구성 : 기기단품❣ 기능 : 모든 기능 정상❣ 잔상 : X❣ 상태 : 찍힘(사진과 동일합니다)❣ 금액 : 140,000❣ 택배 : 가능💥구매자님들의 사기피해 방지를 위해 공식인증을 거쳐 판매중 입니다💥L G / S K / K T / 알 뜰 폰 / 선 불 폰 유심사용가능합니다직 거 래ㆍ택 배 거 래ㆍ화 물 택 배ㆍ퀵 가능* 오후 5시 전 입금 건 당일 택배 발송 *🎈 월~토 모든 기기는 정상적인 기능 테스트를 거쳐 정상작동 확인 후 판매합니다★ 단 순 변 심 , 게시글 내용 미확인 교환/환불 불가합니다 ★* 올린 기기말고도 많은 기계들이 있으니 찾으시는 기기 문의주세요 ☎📞"
